Rial value of the line,Rial value of the line after discount,Rial value of the old line,brand,Rial value of invoice products,packaging,Number of product discounts,Rial discount calculated,Quantity purchased,Distributor,Sum of purchased quantity and product discount,Settlement discount percentage,Riyal volume discount percentage of the invoice,Riyal discount percentage of the line,Basket discount percentage,Discount percentage of the product line,Discount percentage of invoice goods,Percentage of total discounts for one product,Tax percentage on the invoice,Tax percentage on the line,Final tax percentage,invoice date day,invoice year month,The basic price of a product,Invoice serial number,The price of one item for the shopkeeper with all discounts applied,Store code,Shop class,Standard group,Strategic group,Bazar group,Invoice date month,Neighborhoods,Characteristic 2,Characteristic 3,area,Characteristic 1,Numeric area,How to settle,weight,Feature 1,Feature 2
50000,50000,50000,Essen,3575000,nylon,0,0,1,Lahijan,1,0,0,0,0,0,0,0.00%,0,0,0,,140101,50000,10119104737,50000,101191,C,Spices and salt,Seasoning and spices,starch,,Moshir,,,15,,15,1,0,,
60000,60000,60000,Unknown,1357000,nylon,0,0,10,Ronisa,10,0,0,0,0,0,0,0.00%,0,0,0,,140102,6000,10130605360,6000,101306,B,Spices and salt,Seasoning and spices,thyme,,Eshgh,,,12,,12,1,0,,
110000,110000,110000,Unknown,390000,nylon,0,0,1,Ronisa,1,0,0,0,0,0,0,0.00%,0,0,0,,140102,110000,10172905410,110000,101729,B,Spices and salt,Seasoning and spices,sumac,,TehranNew,,,13,,13,1,0,Red,
130649,120685,121904,Amn,1661456,carton,0,1219.04,1,Behesht,1,0,0,1,0,0,0,100.00%,0,8.255999565,8.255999565,,140103,121904,10148603443,120685,101486,C,Spices and salt,Seasoning and spices,cardamom,,JeyJey,,,9,,9,1,0,One shekel,
131171,120685,121904,Amn,5628740,carton,0,1219.04,1,Behesht,1,0,0,1,0,0,0,100.00%,0,8.68900013,8.68900013,,140103,121904,10140105055,120685,101401,B,Spices and salt,Seasoning and spices,cardamom,,Moeen,,,9,,9,1,0,One shekel,
131068,120685,121904,Amn,4125264,carton,0,1219.04,1,Behesht,1,0,0,1,0,0,0,100.00%,0,8.602999687,8.602999687,,140103,121904,10140105054,120685,101401,B,Spices and salt,Seasoning and spices,cardamom,,Moeen,,,9,,9,1,0,One shekel,
131033,120685,121904,Amn,3708224,carton,0,1219.04,1,Behesht,1,0,0,1,0,0,0,100.00%,0,8.574000359,8.574000359,,140103,121904,10140105053,120685,101401,B,Spices and salt,Seasoning and spices,cardamom,,Moeen,,,9,,9,1,0,One shekel,
131254,121618,124100,Amn,1220465,carton,0,2482,1,Behesht,1,0,0,2,0,0,0,200.00%,0,7.922999859,7.922999859,,140102,124100,10191901700,121618,101919,C,Spices and salt,Seasoning and spices,cardamom,,Eshgh,,,12,,12,1,0,One shekel,
131999,121618,124100,Amn,4504920,carton,0,2482,1,Behesht,1,0,0,2,0,0,0,200.00%,0,8.536000252,8.536000252,,140102,124100,10130605406,121618,101306,B,Spices and salt,Seasoning and spices,cardamom,,Eshgh,,,12,,12,1,0,One shekel,
150000,150000,150000,Unknown,1357000,nylon,0,0,3,Ronisa,3,0,0,0,0,0,0,0.00%,0,0,0,,140102,50000,10130605360,50000,101306,B,Spices and salt,Seasoning and spices,Turmeric,,Eshgh,,,12,,12,1,0,,
154000,154000,154000,Unknown,2524000,Pat,0,0,1,Ronisa,1,0,0,0,0,0,0,0.00%,0,0,0,,140101,154000,10139806552,154000,101398,B,Spices and salt,Seasoning and spices,garlic powder,,Ahan,,,22,,22,1,0,,
170000,170000,170000,Unknown,390000,nylon,0,0,1,Ronisa,1,0,0,0,0,0,0,0.00%,0,0,0,,140102,170000,10172905410,170000,101729,B,Spices and salt,Seasoning and spices,cardamom,,TehranNew,,,13,green cardamom,13,1,0,,
181865,181864.8,195000,Unknown,2895000,nylon,0,13065,3,IS,3,0,0,0,0,0,6.736000061,670.00%,0,0,0,,140103,65000,10187301212,60621.6,101873,B,Spices and salt,Seasoning and spices,Turmeric,,Hakim,,,4,,4,1,50,,
182512,182512.2,195000,Unknown,3045000,nylon,0,12480,3,IS,3,0,0,0,0,0,6.403999805,640.00%,0,0,0,,140101,65000,10159901989,60837.4,101599,C,Spices and salt,Seasoning and spices,Turmeric,,Jam,,,4,,4,1,0,,
203334,187425,191250,Amn,6839806,carton,0,3825,1,Behesht,1,0,0,2,0,0,0,200.00%,0,8.487999916,8.487999916,,140102,191250,10161409035,187425,101614,B,Spices and salt,Seasoning and spices,cardamom,,Gharb,,,2,,2,1,0,Tow shekels,
195000,195000,195000,Unknown,399996,Pat,0,0,1,Ronisa,1,0,0,0,0,0,0,0.00%,0,0,0,,140101,195000,10195202199,195000,101952,A,Spices and salt,Seasoning and spices,cinnamon,,Bala,,,1,,1,1,0,,
200000,200000,200000,Unknown,1160000,nylon,0,0,5,Ronisa,5,0,0,0,0,0,0,0.00%,0,0,0,,140103,40000,10155802489,40000,101558,C,Spices and salt,Seasoning and spices,cinnamon,,Rey,,,20,Powder,20,1,0,,
200000,200000,200000,Unknown,1160000,nylon,0,0,5,Ronisa,5,0,0,0,0,0,0,0.00%,0,0,0,,140103,40000,10155802489,40000,101558,C,Spices and salt,Seasoning and spices,cinnamon,,Rey,,,20,Wood,20,1,0,,
210000,210000,210000,Essen,3575000,nylon,0,0,3,Lahijan,3,0,0,0,0,0,0,0.00%,0,0,0,,140101,70000,10119104737,70000,101191,C,Spices and salt,Seasoning and spices,garlic powder,,Moshir,,,15,,15,1,0,,
225000,225000,225000,Essen,3750000,nylon,0,0,3,Lahijan,3,0,0,0,0,0,0,0.00%,0,0,0,,140102,75000,10119104835,75000,101191,C,Spices and salt,Seasoning and spices,garlic powder,,Moshir,,,15,,15,1,0,,
230000,230000,230000,Lib,1059000,nylon,0,0,5,Falagh,5,0,0,0,0,0,0,0.00%,0,0,0,,140103,46000,10195202906,46000,101952,A,Spices and salt,Seasoning and spices,red pepper,,Bala,,,1,,1,1,0,,
240000,240000,240000,Unknown,3600000,nylon,0,0,2,Ronisa,2,0,0,0,0,0,0,0.00%,0,0,0,,140101,120000,10120805160,120000,101208,C,Spices and salt,Seasoning and spices,curry spice,,Rey,,,20,,20,1,0,,
240000,240000,240000,Unknown,3600000,nylon,0,0,2,Ronisa,2,0,0,0,0,0,0,0.00%,0,0,0,,140101,120000,10120805160,120000,101208,C,Spices and salt,Seasoning and spices,angelica,,Rey,,,20,,20,1,0,,
264142,243236,248200,Amn,9724100,carton,0,4964,2,Behesht,2,0,0,2,0,0,0,200.00%,0,8.595000267,8.595000267,,140102,124100,10144904601,121618,101449,B,Spices and salt,Seasoning and spices,cardamom,,Eshgh,,,12,,12,1,0,One shekel,
300000,300000,300000,Unknown,1660000,nylon,0,0,5,Ronisa,5,0,0,0,0,0,0,0.00%,0,0,0,,140101,60000,10191901457,60000,101919,C,Spices and salt,Seasoning and spices,starch,,Eshgh,,,12,,12,1,150,,
310800,310800,310800,Golchin,9431600,Pat,0,0,3,Shayan,3,0,0,0,0,0,0,0.00%,0,0,0,,140103,103600,10188801118,103600,101888,B,Spices and salt,Seasoning and spices,red pepper,,Jey,,,10,,10,1,75,,
325000,325000,325000,Lib,1059000,Pat,0,0,5,Falagh,5,0,0,0,0,0,0,0.00%,0,0,0,,140103,65000,10195202906,65000,101952,A,Spices and salt,Seasoning and spices,black pepper,,Bala,,,1,,1,1,0,,
325000,325000,325000,Unknown,3445000,nylon,0,0,5,Ronisa,5,0,0,0,0,0,0,0.00%,0,0,0,,140103,65000,10139807078,65000,101398,B,Spices and salt,Seasoning and spices,starch,,Ahan,,,22,,22,1,0,,
330000,330000,330000,Essen,3750000,nylon,0,0,6,Lahijan,6,0,0,0,0,0,0,0.00%,0,0,0,,140102,55000,10119104835,55000,101191,C,Spices and salt,Seasoning and spices,pecan,,Moshir,,,15,,15,1,0,,
337402,337402.45,350000,Pahlavi,5640000,nylon,0,12600,5,Abshar,5,3.598999977,0,0,0,0,0,360.00%,0,0,0,,140102,70000,10107604972,67480.49,101076,B,Spices and salt,Seasoning and spices,pecan,,Masi,,,15,,15,1,0,,
339500,339500,350000,Unknown,1619500,nylon,0,10500,5,Pashaki,5,0,0,3,0,0,0,300.00%,0,0,0,,140101,70000,10117304328,67900,101173,C,Spices and salt,Seasoning and spices,Turmeric,,Ebi,,,17,,17,1,50,,
339500,339500,350000,Unknown,1619500,nylon,0,10500,4,Pashaki,4,0,0,3,0,0,0,300.00%,0,0,0,,140101,87500,10117304328,84875,101173,C,Spices and salt,Seasoning and spices,red pepper,,Ebi,,,17,,17,1,50,,
